number	species	sl	tl	weight	vol.ttl	vol.mysis	vol.oi	vol.fish	num.dipter	num.pisidium
260	LKT	NA	692	3574	124.500	0.000	0.000	124.500	0	0
434	LKT	NA	693	3329	0.000	0.000	0.000	0.000	0	0
429	LKT	NA	695	3987	3.500	0.000	0.000	3.500	0	0
412	LKT	NA	696	3938	53.000	0.000	0.000	53.000	0	0
161	LKT	NA	702	600	0.250	0.000	0.000	0.250	0	0
379	LKT	NA	705	3875	0.800	0.000	0.033	0.767	6	0
271	LKT	NA	708	3977	9.000	0.000	0.000	9.000	0	0
416	LKT	NA	708	3945	30.000	0.000	0.000	30.000	0	0
145	LKT	NA	710	3487	1.100	0.000	1.100	0.000	1	0
468	LKT	NA	712	3575	0.000	0.000	0.000	0.000	1	0
421	LKT	NA	712	4061	1.000	0.000	0.008	0.992	0	0
381	LKT	NA	712	3885	70.000	0.000	0.000	70.000	0	0
262	LKT	NA	713	3744	0.000	0.000	0.000	0.000	0	0
396	LKT	NA	713	3911	0.000	0.000	0.000	0.000	0	0
376	LKT	NA	717	3927	0.000	0.000	0.000	0.000	0	0
413	LKT	NA	723	4436	125.000	0.000	0.000	125.000	0	0
400	LKT	NA	728	4490	170.000	0.000	0.000	170.000	0	0
343	LKT	NA	730	4365	2.000	0.000	0.000	2.000	0	0
146	LKT	NA	730	3517	20.000	0.000	0.000	20.000	0	0
414	LKT	NA	731	5114	0.000	0.000	0.000	0.000	0	0
407	LKT	NA	733	4488	70.000	0.000	0.000	70.000	0	0
253	LKT	NA	737	4730	0.000	0.000	0.000	0.000	0	0
300	LKT	NA	739	6223	37.000	0.000	0.000	37.000	0	0
425	LKT	NA	741	5043	0.000	0.000	0.000	0.000	0	0
258	LKT	NA	747	4400	2.000	0.000	0.000	1.900	0	0
395	LKT	NA	753	5322	0.000	0.000	0.000	0.000	0	0
408	LKT	NA	760	6127	0.000	0.000	0.000	0.000	0	0
254	LKT	NA	765	5933	0.000	0.000	0.000	0.000	0	0
261	LKT	NA	765	5581	0.000	0.000	0.000	0.000	0	0
463	LKT	NA	765	3574	4.000	0.000	0.000	4.000	0	0
296	LKT	NA	766	5540	0.000	0.000	0.000	0.000	0	0
143	LKT	NA	770	5668	0.000	0.000	0.000	0.000	0	0
333	LKT	NA	772	5404	110.000	0.000	0.000	110.000	0	0
420	LKT	NA	780	5017	0.000	0.000	0.000	0.000	0	0
449	LKT	NA	782	5663	0.000	0.000	0.000	0.000	0	0
231	LKT	NA	782	5700	2.000	0.000	0.000	2.000	0	0
301	LKT	NA	790	6673	0.000	0.000	0.000	0.000	0	0
378	LKT	NA	790	5548	0.000	0.000	0.000	0.000	0	0
259	LKT	NA	794	5834	1.600	0.000	0.000	1.501	0	0
411	LKT	NA	797	6294	0.000	0.000	0.000	0.000	0	0
466	LKT	NA	797	6294	0.000	0.000	0.000	0.000	0	0
144	LKT	NA	802	5760	3.000	0.000	0.000	3.000	0	0
406	LKT	NA	803	7114	0.000	0.000	0.000	0.000	0	0
269	LKT	NA	805	5932	0.000	0.000	0.000	0.000	0	0
268	LKT	NA	805	NA	4.500	0.000	0.000	4.335	0	0
460	LKT	NA	806	NA	138.000	0.000	0.000	138.000	0	0
441	LKT	NA	808	6844	0.000	0.000	0.000	0.000	0	0
267	LKT	NA	820	7720	0.000	0.000	0.000	0.000	0	0
394	LKT	NA	822	8145	2.500	0.000	0.000	2.500	0	0
270	LKT	NA	829	8225	0.000	0.000	0.000	0.000	0	0
410	LKT	NA	834	6364	0.000	0.000	0.000	0.000	0	0
302	LKT	NA	860	8226	0.000	0.000	0.000	0.000	0	0
299	LKT	NA	875	9407	0.150	0.000	0.000	0.150	0	0
448	LKT	NA	895	8215	0.000	0.000	0.000	0.000	0	0
256	LKT	NA	899	9516	0.000	0.000	0.000	0.000	0	0
393	LKT	NA	920	10676	0.000	0.000	0.000	0.000	0	0
242	LKT	NA	945	10110	0.000	0.000	0.000	0.000	0	0
